t1_id,t1_reuses,reuse_t1_t2,t1_length,coverage_t1_t2,t1_work_id,t1_estc_id,t2_id,t2_reuses,reuse_t2_t1,t2_length,coverage_t2_t1,t2_work_id,t2_estc_id
171153,1,124,126145,0.09829957588489437,2736-modest defence of publick stews,T144291,14910,1,129,1030665,0.012516191002896188,X-the new testament of our lord and saviour jesus christ,W4685
171153,1,124,126145,0.09829957588489437,2736-modest defence of publick stews,T144291,15048,1,121,1018420,0.011881149231161996,X-the new testament of our lord and saviour jesus christ,T195675
171153,1,106,126145,0.08403028261128066,2736-modest defence of publick stews,T144291,22866,1,103,NA,NA,22988-female duel or ladies lookingglass· representing scripture combate about business of religion fairly carried on between roman catholick lady and wife of dignified person in church of england,R209780
171153,1,145,126145,0.11494708470411036,2736-modest defence of publick stews,T144291,522,1,143,4323677,0.0033073700926318037,X-the holy bible,T191119
171153,1,130,126145,0.10305600697609893,2736-modest defence of publick stews,T144291,85892,2,247,138699,0.17808347572801533,X-a help to a national reformation,N17496
171153,1,182,126145,0.1442784097665385,2736-modest defence of publick stews,T144291,22145,1,169,1245880,0.01356470928179279,1519-new history of holy bible,T225786
171153,11,6417,126145,5.087003052043284,2736-modest defence of publick stews,T144291,148989,15,6636,46314,14.328280865397073,124085-a sermon preachd to societies for reformation of manners at salters-hall on monday october 1st 1739 by timothy jollie,T174945
171153,8,9115,126145,7.2258115660549365,2736-modest defence of publick stews,T144291,171154,8,9702,9943,97.57618425022629,X-T219029,T219029
171153,1,69,126145,0.05469895754885251,2736-modest defence of publick stews,T144291,9920,1,74,174761,0.04234354346793621,X-considerations on the present state of popery in england. in answer to two queries concerning the new tax on the,T93991
171153,1,124,126145,0.09829957588489437,2736-modest defence of publick stews,T144291,507,1,119,5222928,0.002278415478827202,"X-the holy bible, containing the old testament and the new: newly translated out of the original tongues, and with the",T89276
171153,1,145,126145,0.11494708470411036,2736-modest defence of publick stews,T144291,876,1,140,5787124,0.002419163646744048,X-the holy bible,T183506
171153,11,7395,126145,5.862301319909627,2736-modest defence of publick stews,T144291,170020,12,7279,56948,12.7818360609679,44882-a sermon preached to societies for reformation of manners at st,T47943
171153,2,9321,126145,7.389115700186294,2736-modest defence of publick stews,T144291,171152,4,9529,10300,92.51456310679612,106126-nine and twentieth account of progress made in cities of london and westminster and places adjacent by societies for promoting reformation of manners by furthering execution of laws against profaneness and immorality and other christian methods,T182262
171153,1,100,126145,0.0792738515200761,2736-modest defence of publick stews,T144291,117179,1,107,52493,0.20383670203646198,177967-reasonableness of putting laws in strict execution for restraining exercise of worldly employments on lords-day according to her majestys royal command,T175907
171153,1,124,126145,0.09829957588489437,2736-modest defence of publick stews,T144291,6193,1,122,2191764,0.005566292721296637,X-the new testament of our lord and saviour jesus christ,T94982
171153,1,100,126145,0.0792738515200761,2736-modest defence of publick stews,T144291,117183,1,104,26385,0.3941633503884783,1117-a disswasive from sin of drunkenness,T188022
171153,1,441,126145,0.34959768520353557,2736-modest defence of publick stews,T144291,48765,1,450,3025200,0.014875049583498612,4366-works of learned and pious author of whole duty of man,T102260
171153,1,124,126145,0.09829957588489437,2736-modest defence of publick stews,T144291,14813,1,121,1018590,0.011879166298510687,X-the new testament of our lord and saviour jesus christ,T195678
171153,1,124,126145,0.09829957588489437,2736-modest defence of publick stews,T144291,15701,1,123,994340,0.012370014280829494,X-the new testament of our lord and saviour jesus christ,W17993
171153,1,124,126145,0.09829957588489437,2736-modest defence of publick stews,T144291,355,1,120,6045390,0.0019849835990730126,"X-the new testament of our lord and saviour jesus christ, .",T124548
171153,1,70,126145,0.05549169606405328,2736-modest defence of publick stews,T144291,117237,1,70,NA,NA,"X-an appeal to all protestant kings, princes, and states",R8897
171153,1,300,126145,0.2378215545602283,2736-modest defence of publick stews,T144291,183147,1,301,826134,0.03643476724114974,X-T14875,T14875
171153,1,124,126145,0.09829957588489437,2736-modest defence of publick stews,T144291,534,1,122,5302400,0.00230084490042245,"X-the holy bible, containing the old testament and the new",T183523
