t1_id,t1_reuses,reuse_t1_t2,t1_length,coverage_t1_t2,t1_work_id,t1_estc_id,t2_id,t2_reuses,reuse_t2_t1,t2_length,coverage_t2_t1,t2_work_id,t2_estc_id
186814,27,74171,78339,94.67953382095763,19472-some fables after easie and familiar method of monsieur de la fontaine,T132339,217041,38,71380,77228,92.42761692650335,19472-some fables after easie and familiar method of monsieur de la fontaine,T57177
186814,17,57490,78339,73.38618057417123,19472-some fables after easie and familiar method of monsieur de la fontaine,T132339,13278,33,56606,63843,88.66437980671334,19472-some fables after easie and familiar method of monsieur de la fontaine,T146663
191695,18,325088,328313,99.01770566502088,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T55928,191696,20,319922,322498,99.20123535649833,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57160
191695,29,325573,328313,99.16543054950611,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T55928,181310,26,320883,322612,99.46406209316454,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57159
191695,34,321784,328313,98.01134892617715,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T55928,162675,31,329746,342870,96.17231020503397,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57166
191695,2,380,328313,0.11574320846265607,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T55928,108399,2,356,415098,0.08576288009096647,172740-an enquiry whether general practice of virtue tends to wealth or poverty benefit or disadvantage of people in which pleas offered by author of fable of bees or private vices publick benefits for usefulness of vice and roguery are considered,T77709
191695,6,326740,328313,99.52088403444274,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T55928,181311,8,323244,324799,99.52124236835704,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T124783
191695,41,324759,328313,98.91749641348348,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T55928,162676,29,322993,333360,96.89014878809695,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T179041
181310,34,317664,322612,98.46626907864555,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57159,162675,33,330193,342870,96.3026803161548,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57166
181310,26,320883,322612,99.46406209316454,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57159,191695,29,325573,328313,99.16543054950611,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T55928
181310,17,321230,322612,99.57162163837675,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57159,162676,11,324210,333360,97.25521958243341,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T179041
181310,13,321158,322612,99.5493038076699,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57159,181311,19,322383,324799,99.25615534530586,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T124783
181310,20,321322,322612,99.60013886650218,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57159,191696,23,320678,322498,99.4356554149173,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57160
191696,20,319922,322498,99.20123535649833,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57160,191695,18,325088,328313,99.01770566502088,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T55928
191696,14,320352,322498,99.33456951671018,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57160,181311,15,322139,324799,99.1810319613053,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T124783
191696,25,318162,322498,98.65549553795682,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57160,162675,20,331517,342870,96.68883250211451,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57166
191696,2,369,322498,0.11441931422830529,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57160,108399,2,356,415098,0.08576288009096647,172740-an enquiry whether general practice of virtue tends to wealth or poverty benefit or disadvantage of people in which pleas offered by author of fable of bees or private vices publick benefits for usefulness of vice and roguery are considered,T77709
191696,23,320678,322498,99.4356554149173,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57160,181310,20,321322,322612,99.60013886650218,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57159
191696,38,319619,322498,99.10728128546533,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57160,162676,27,323163,333360,96.94114470842332,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T179041
162675,33,330193,342870,96.3026803161548,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57166,181310,34,317664,322612,98.46626907864555,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57159
162675,31,329746,342870,96.17231020503397,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57166,191695,34,321784,328313,98.01134892617715,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T55928
162675,20,331517,342870,96.68883250211451,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57166,191696,25,318162,322498,98.65549553795682,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57160
162675,25,330528,342870,96.40038498556304,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57166,181311,26,319056,324799,98.23182953149487,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T124783
162675,43,330601,342870,96.42167585382215,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T57166,162676,40,320803,333360,96.23320134389249,6933-virgin unmaskd or female dialogues betwixt elderly maiden lady and her niece on several diverting discourses on love marriage memoirs morals andc,T179041
